nummer,actie,resultaat,reactietijd_ms,response
1,aan,succes,60.7,[{'success': {'/lights/1/state/on': True}}]
2,uit,succes,53.88,[{'success': {'/lights/1/state/on': False}}]
3,aan,succes,72.81,[{'success': {'/lights/1/state/on': True}}]
4,uit,succes,57.82,[{'success': {'/lights/1/state/on': False}}]
5,aan,succes,50.31,[{'success': {'/lights/1/state/on': True}}]
6,uit,succes,55.68,[{'success': {'/lights/1/state/on': False}}]
7,aan,succes,58.35,[{'success': {'/lights/1/state/on': True}}]
8,uit,succes,65.28,[{'success': {'/lights/1/state/on': False}}]
9,aan,succes,67.91,[{'success': {'/lights/1/state/on': True}}]
10,uit,succes,49.56,[{'success': {'/lights/1/state/on': False}}]
11,aan,succes,55.22,[{'success': {'/lights/1/state/on': True}}]
12,uit,succes,60.08,[{'success': {'/lights/1/state/on': False}}]
13,aan,succes,63.77,[{'success': {'/lights/1/state/on': True}}]
14,uit,succes,44.28,[{'success': {'/lights/1/state/on': False}}]
15,aan,succes,49.35,[{'success': {'/lights/1/state/on': True}}]
16,uit,succes,45.08,[{'success': {'/lights/1/state/on': False}}]
17,aan,succes,54.23,[{'success': {'/lights/1/state/on': True}}]
18,uit,succes,69.67,[{'success': {'/lights/1/state/on': False}}]
19,aan,succes,73.95,[{'success': {'/lights/1/state/on': True}}]
20,uit,succes,68.16,[{'success': {'/lights/1/state/on': False}}]
21,aan,succes,63.26,[{'success': {'/lights/1/state/on': True}}]
22,uit,succes,74.57,[{'success': {'/lights/1/state/on': False}}]
23,aan,succes,65.72,[{'success': {'/lights/1/state/on': True}}]
24,uit,succes,67.11,[{'success': {'/lights/1/state/on': False}}]
25,aan,succes,58.26,[{'success': {'/lights/1/state/on': True}}]
26,uit,succes,61.63,[{'success': {'/lights/1/state/on': False}}]
27,aan,succes,60.41,[{'success': {'/lights/1/state/on': True}}]
28,uit,succes,70.63,[{'success': {'/lights/1/state/on': False}}]
29,aan,succes,56.63,[{'success': {'/lights/1/state/on': True}}]
30,uit,succes,77.77,[{'success': {'/lights/1/state/on': False}}]
31,aan,succes,72.24,[{'success': {'/lights/1/state/on': True}}]
32,uit,succes,67.17,[{'success': {'/lights/1/state/on': False}}]
33,aan,succes,66.19,[{'success': {'/lights/1/state/on': True}}]
34,uit,succes,69.15,[{'success': {'/lights/1/state/on': False}}]
35,aan,succes,66.74,[{'success': {'/lights/1/state/on': True}}]
36,uit,succes,74.8,[{'success': {'/lights/1/state/on': False}}]
37,aan,succes,54.56,[{'success': {'/lights/1/state/on': True}}]
38,uit,succes,71.98,[{'success': {'/lights/1/state/on': False}}]
39,aan,succes,66.62,[{'success': {'/lights/1/state/on': True}}]
40,uit,succes,58.08,[{'success': {'/lights/1/state/on': False}}]
41,aan,succes,54.22,[{'success': {'/lights/1/state/on': True}}]
42,uit,succes,71.25,[{'success': {'/lights/1/state/on': False}}]
43,aan,succes,57.96,[{'success': {'/lights/1/state/on': True}}]
44,uit,succes,72.37,[{'success': {'/lights/1/state/on': False}}]
45,aan,succes,64.17,[{'success': {'/lights/1/state/on': True}}]
46,uit,succes,54.6,[{'success': {'/lights/1/state/on': False}}]
47,aan,succes,73.12,[{'success': {'/lights/1/state/on': True}}]
48,uit,succes,64.69,[{'success': {'/lights/1/state/on': False}}]
49,aan,succes,74.31,[{'success': {'/lights/1/state/on': True}}]
50,uit,succes,65.01,[{'success': {'/lights/1/state/on': False}}]
51,aan,succes,72.8,[{'success': {'/lights/1/state/on': True}}]
52,uit,succes,56.05,[{'success': {'/lights/1/state/on': False}}]
53,aan,succes,55.11,[{'success': {'/lights/1/state/on': True}}]
54,uit,succes,42.43,[{'success': {'/lights/1/state/on': False}}]
55,aan,succes,37.51,[{'success': {'/lights/1/state/on': True}}]
56,uit,succes,39.21,[{'success': {'/lights/1/state/on': False}}]
57,aan,succes,47.87,[{'success': {'/lights/1/state/on': True}}]
58,uit,succes,57.01,[{'success': {'/lights/1/state/on': False}}]
59,aan,succes,48.75,[{'success': {'/lights/1/state/on': True}}]
60,uit,succes,69.15,[{'success': {'/lights/1/state/on': False}}]
61,aan,succes,61.49,[{'success': {'/lights/1/state/on': True}}]
62,uit,succes,77.41,[{'success': {'/lights/1/state/on': False}}]
63,aan,succes,63.71,[{'success': {'/lights/1/state/on': True}}]
64,uit,succes,75.29,[{'success': {'/lights/1/state/on': False}}]
65,aan,succes,50.28,[{'success': {'/lights/1/state/on': True}}]
66,uit,succes,65.23,[{'success': {'/lights/1/state/on': False}}]
67,aan,succes,61.05,[{'success': {'/lights/1/state/on': True}}]
68,uit,succes,57.52,[{'success': {'/lights/1/state/on': False}}]
69,aan,succes,40.16,[{'success': {'/lights/1/state/on': True}}]
70,uit,succes,61.51,[{'success': {'/lights/1/state/on': False}}]
71,aan,succes,51.23,[{'success': {'/lights/1/state/on': True}}]
72,uit,succes,54.03,[{'success': {'/lights/1/state/on': False}}]
73,aan,succes,58.65,[{'success': {'/lights/1/state/on': True}}]
74,uit,succes,67.06,[{'success': {'/lights/1/state/on': False}}]
75,aan,succes,37.25,[{'success': {'/lights/1/state/on': True}}]
76,uit,succes,50.49,[{'success': {'/lights/1/state/on': False}}]
77,aan,succes,74.24,[{'success': {'/lights/1/state/on': True}}]
78,uit,succes,70.81,[{'success': {'/lights/1/state/on': False}}]
79,aan,succes,43.84,[{'success': {'/lights/1/state/on': True}}]
80,uit,succes,65.27,[{'success': {'/lights/1/state/on': False}}]
81,aan,succes,73.2,[{'success': {'/lights/1/state/on': True}}]
82,uit,succes,64.54,[{'success': {'/lights/1/state/on': False}}]
83,aan,succes,43.25,[{'success': {'/lights/1/state/on': True}}]
84,uit,succes,54.43,[{'success': {'/lights/1/state/on': False}}]
85,aan,succes,53.77,[{'success': {'/lights/1/state/on': True}}]
86,uit,succes,63.71,[{'success': {'/lights/1/state/on': False}}]
87,aan,succes,61.26,[{'success': {'/lights/1/state/on': True}}]
88,uit,succes,47.96,[{'success': {'/lights/1/state/on': False}}]
89,aan,succes,66.25,[{'success': {'/lights/1/state/on': True}}]
90,uit,succes,73.17,[{'success': {'/lights/1/state/on': False}}]
91,aan,succes,52.4,[{'success': {'/lights/1/state/on': True}}]
92,uit,succes,50.55,[{'success': {'/lights/1/state/on': False}}]
93,aan,succes,46.92,[{'success': {'/lights/1/state/on': True}}]
94,uit,succes,47.62,[{'success': {'/lights/1/state/on': False}}]
95,aan,succes,55.83,[{'success': {'/lights/1/state/on': True}}]
96,uit,succes,56.56,[{'success': {'/lights/1/state/on': False}}]
97,aan,succes,62.69,[{'success': {'/lights/1/state/on': True}}]
98,uit,succes,37.14,[{'success': {'/lights/1/state/on': False}}]
99,aan,succes,76.64,[{'success': {'/lights/1/state/on': True}}]
100,uit,succes,52.02,[{'success': {'/lights/1/state/on': False}}]
101,aan,succes,50.03,[{'success': {'/lights/1/state/on': True}}]
102,uit,succes,59.37,[{'success': {'/lights/1/state/on': False}}]
103,aan,succes,67.14,[{'success': {'/lights/1/state/on': True}}]
104,uit,succes,63.91,[{'success': {'/lights/1/state/on': False}}]
105,aan,succes,69.26,[{'success': {'/lights/1/state/on': True}}]
106,uit,succes,58.04,[{'success': {'/lights/1/state/on': False}}]
107,aan,succes,67.53,[{'success': {'/lights/1/state/on': True}}]
108,uit,succes,61.93,[{'success': {'/lights/1/state/on': False}}]
109,aan,succes,67.35,[{'success': {'/lights/1/state/on': True}}]
110,uit,succes,62.13,[{'success': {'/lights/1/state/on': False}}]
111,aan,succes,63.58,[{'success': {'/lights/1/state/on': True}}]
112,uit,succes,59.27,[{'success': {'/lights/1/state/on': False}}]
113,aan,succes,60.78,[{'success': {'/lights/1/state/on': True}}]
114,uit,succes,49.14,[{'success': {'/lights/1/state/on': False}}]
115,aan,succes,62.17,[{'success': {'/lights/1/state/on': True}}]
116,uit,succes,61.67,[{'success': {'/lights/1/state/on': False}}]
117,aan,succes,69.06,[{'success': {'/lights/1/state/on': True}}]
118,uit,succes,57.15,[{'success': {'/lights/1/state/on': False}}]
119,aan,succes,43.26,[{'success': {'/lights/1/state/on': True}}]
120,uit,succes,70.77,[{'success': {'/lights/1/state/on': False}}]
121,aan,succes,61.91,[{'success': {'/lights/1/state/on': True}}]
122,uit,succes,68.08,[{'success': {'/lights/1/state/on': False}}]
123,aan,succes,74.29,[{'success': {'/lights/1/state/on': True}}]
124,uit,succes,56.65,[{'success': {'/lights/1/state/on': False}}]
125,aan,succes,59.54,[{'success': {'/lights/1/state/on': True}}]
126,uit,succes,63.34,[{'success': {'/lights/1/state/on': False}}]
127,aan,succes,68.85,[{'success': {'/lights/1/state/on': True}}]
128,uit,succes,54.46,[{'success': {'/lights/1/state/on': False}}]
129,aan,succes,69.66,[{'success': {'/lights/1/state/on': True}}]
130,uit,succes,54.2,[{'success': {'/lights/1/state/on': False}}]
131,aan,succes,57.13,[{'success': {'/lights/1/state/on': True}}]
132,uit,succes,54.13,[{'success': {'/lights/1/state/on': False}}]
133,aan,succes,67.01,[{'success': {'/lights/1/state/on': True}}]
134,uit,succes,56.03,[{'success': {'/lights/1/state/on': False}}]
135,aan,succes,62.09,[{'success': {'/lights/1/state/on': True}}]
136,uit,succes,63.71,[{'success': {'/lights/1/state/on': False}}]
137,aan,succes,72.57,[{'success': {'/lights/1/state/on': True}}]
138,uit,succes,62.72,[{'success': {'/lights/1/state/on': False}}]
139,aan,succes,65.35,[{'success': {'/lights/1/state/on': True}}]
140,uit,succes,70.59,[{'success': {'/lights/1/state/on': False}}]
141,aan,succes,54.69,[{'success': {'/lights/1/state/on': True}}]
142,uit,succes,49.25,[{'success': {'/lights/1/state/on': False}}]
143,aan,succes,71.75,[{'success': {'/lights/1/state/on': True}}]
144,uit,succes,74.99,[{'success': {'/lights/1/state/on': False}}]
145,aan,succes,67.35,[{'success': {'/lights/1/state/on': True}}]
146,uit,succes,59.13,[{'success': {'/lights/1/state/on': False}}]
147,aan,succes,65.77,[{'success': {'/lights/1/state/on': True}}]
148,uit,succes,47.47,[{'success': {'/lights/1/state/on': False}}]
149,aan,succes,65.17,[{'success': {'/lights/1/state/on': True}}]
150,uit,succes,51.21,[{'success': {'/lights/1/state/on': False}}]
151,aan,succes,76.22,[{'success': {'/lights/1/state/on': True}}]
152,uit,succes,57.49,[{'success': {'/lights/1/state/on': False}}]
153,aan,succes,68.83,[{'success': {'/lights/1/state/on': True}}]
154,uit,succes,51.47,[{'success': {'/lights/1/state/on': False}}]
155,aan,succes,72.29,[{'success': {'/lights/1/state/on': True}}]
156,uit,succes,60.07,[{'success': {'/lights/1/state/on': False}}]
157,aan,succes,72.7,[{'success': {'/lights/1/state/on': True}}]
158,uit,succes,59.56,[{'success': {'/lights/1/state/on': False}}]
159,aan,succes,68.31,[{'success': {'/lights/1/state/on': True}}]
160,uit,succes,65.39,[{'success': {'/lights/1/state/on': False}}]
161,aan,succes,48.72,[{'success': {'/lights/1/state/on': True}}]
162,uit,succes,71.92,[{'success': {'/lights/1/state/on': False}}]
163,aan,succes,66.49,[{'success': {'/lights/1/state/on': True}}]
164,uit,succes,66.94,[{'success': {'/lights/1/state/on': False}}]
165,aan,succes,51.84,[{'success': {'/lights/1/state/on': True}}]
166,uit,succes,70.82,[{'success': {'/lights/1/state/on': False}}]
167,aan,succes,47.65,[{'success': {'/lights/1/state/on': True}}]
168,uit,succes,55.63,[{'success': {'/lights/1/state/on': False}}]
169,aan,succes,49.15,[{'success': {'/lights/1/state/on': True}}]
170,uit,succes,60.48,[{'success': {'/lights/1/state/on': False}}]
171,aan,succes,70.5,[{'success': {'/lights/1/state/on': True}}]
172,uit,succes,51.47,[{'success': {'/lights/1/state/on': False}}]
173,aan,succes,46.26,[{'success': {'/lights/1/state/on': True}}]
174,uit,succes,79.0,[{'success': {'/lights/1/state/on': False}}]
175,aan,succes,57.29,[{'success': {'/lights/1/state/on': True}}]
176,uit,succes,60.08,[{'success': {'/lights/1/state/on': False}}]
177,aan,succes,56.9,[{'success': {'/lights/1/state/on': True}}]
178,uit,succes,44.23,[{'success': {'/lights/1/state/on': False}}]
179,aan,succes,70.16,[{'success': {'/lights/1/state/on': True}}]
180,uit,succes,50.69,[{'success': {'/lights/1/state/on': False}}]
181,aan,succes,42.07,[{'success': {'/lights/1/state/on': True}}]
182,uit,succes,50.93,[{'success': {'/lights/1/state/on': False}}]
183,aan,succes,50.6,[{'success': {'/lights/1/state/on': True}}]
184,uit,succes,55.9,[{'success': {'/lights/1/state/on': False}}]
185,aan,succes,62.65,[{'success': {'/lights/1/state/on': True}}]
186,uit,succes,64.83,[{'success': {'/lights/1/state/on': False}}]
187,aan,succes,59.04,[{'success': {'/lights/1/state/on': True}}]
188,uit,succes,69.5,[{'success': {'/lights/1/state/on': False}}]
189,aan,succes,59.07,[{'success': {'/lights/1/state/on': True}}]
190,uit,succes,62.71,[{'success': {'/lights/1/state/on': False}}]
191,aan,succes,59.39,[{'success': {'/lights/1/state/on': True}}]
192,uit,succes,45.49,[{'success': {'/lights/1/state/on': False}}]
193,aan,succes,63.73,[{'success': {'/lights/1/state/on': True}}]
194,uit,succes,73.31,[{'success': {'/lights/1/state/on': False}}]
195,aan,succes,68.66,[{'success': {'/lights/1/state/on': True}}]
196,uit,succes,67.9,[{'success': {'/lights/1/state/on': False}}]
197,aan,succes,74.2,[{'success': {'/lights/1/state/on': True}}]
198,uit,succes,66.12,[{'success': {'/lights/1/state/on': False}}]
199,aan,succes,66.46,[{'success': {'/lights/1/state/on': True}}]
200,uit,succes,53.52,[{'success': {'/lights/1/state/on': False}}]
